time,REWS_WindField,REWS_WindField_shifted,REWS,REWS_f,REWS_b
574.69,15.801618919999987,15.73110464000001,16.481037053492376,15.861207749081865,15.861207749081865
574.7,15.79930759999999,15.733000200000008,16.481331074793683,15.861195246653926,15.861195246653926
574.71,15.796996279999991,15.734895760000008,16.481624491629947,15.861183534063624,15.861183534063624
574.72,15.794684959999994,15.736791320000005,16.48191730529431,15.861183694573699,15.861183694573699
574.73,15.792373639999996,15.738686880000003,16.48220951707703,15.861184562020068,15.861184562020068
574.74,15.790062319999999,15.740582440000003,16.482501128265504,15.86118612856346,15.86118612856346
574.75,15.787751,15.742478,16.499894763130087,15.87872640899024,15.87872640899024
574.76,15.787319680000001,15.746560279999997,16.50018517698076,15.8791625272424,15.8791625272424
574.77,15.78688836,15.750642559999992,16.500474994082182,15.879597111373744,15.879597111373744
574.78,15.786457040000002,15.754724839999989,16.500764215710305,15.880030166447193,15.880030166447193
574.79,15.786025720000001,15.758807119999986,16.501052843138268,15.880461697520502,15.880461697520502
574.8000000000001,15.785594399999997,15.762889400000027,16.501340877636352,15.880891709646004,15.880891709646004
574.8100000000001,15.785163079999997,15.766971680000024,16.501628320472026,15.881320207870484,15.881320207870484
574.82,15.784731759999998,15.771053960000021,16.50191517290994,15.881747197234974,15.881747197234974
574.83,15.784300439999999,15.775136240000016,16.50220143621192,15.88217268277458,15.88217268277458
574.84,15.783869119999999,15.779218520000013,16.50248711163699,15.882596669518314,15.882596669518314
574.85,15.7834378,15.78330080000001,16.502772200441385,15.883019162488932,15.883019162488932
574.86,15.78300648,15.787383080000005,16.503056703878528,15.883435197460175,15.883435197460175
574.87,15.78257516,15.791465360000002,16.503340623199062,15.883849767179717,15.883849767179717
574.88,15.78214384,15.795547639999999,16.503623959650852,15.884262876619646,15.884262876619646
574.89,15.781712520000001,15.799629919999996,16.503906714478987,15.884674530744567,15.884674530744567
574.9,15.7812812,15.80371219999999,16.504188888925786,15.885084734511464,15.885084734511464
574.91,15.780849880000002,15.807794479999988,16.504470484230808,15.885493492869564,15.885493492869564
574.92,15.780418560000001,15.811876759999985,16.504812700591398,15.88596200972073,15.88596200972073
574.9300000000001,15.779987239999997,15.815959040000026,16.505215416965967,15.886490167722613,15.886490167722613
574.94,15.779555919999998,15.820041320000023,16.505617313593945,15.887016650808452,15.887016650808452
574.95,15.779124599999998,15.82412360000002,16.50601839219203,15.887541464383196,15.887541464383196
574.96,15.778693279999999,15.828205880000015,16.506418654473208,15.88806461384239,15.88806461384239
574.97,15.778261959999998,15.832288160000012,16.506818102146788,15.889008887877305,15.889008887877305
574.98,15.77783064,15.836370440000008,16.507216736918373,15.889950216577205,15.889950216577205
574.99,15.777399319999999,15.840452720000004,16.5076145604899,15.890011938034688,15.890011938034688
575.0,15.776968,15.844535,16.5249122273773,15.906949723575522,15.906949723575522
575.01,15.77597684,15.846772559999998,16.525326194336714,15.90700548732501,15.90700548732501
575.02,15.774985680000002,15.849010119999997,16.525739327701082,15.906900593836665,15.906900593836665
575.03,15.773994520000002,15.851247679999995,16.526151629198147,15.906797654527422,15.906797654527422
575.04,15.773003360000004,15.853485239999992,16.526563100551932,15.906696646274781,15.906696646274781
575.0500000000001,15.772012199999994,15.855722800000017,16.5269737434828,15.906597546201075,15.906597546201075
575.0600000000001,15.771021039999994,15.857960360000014,16.527383559707417,15.906500331671015,15.906500331671015
575.07,15.770029879999996,15.860197920000012,16.52779255093879,15.906404980289283,15.906404980289283
575.08,15.769038719999996,15.86243548000001,16.528200718886268,15.906311469898151,15.906311469898151
575.09,15.768047559999998,15.864673040000008,16.528608065255543,15.90621977857511,15.90621977857511
575.1,15.767056399999998,15.866910600000006,16.529014591748656,15.906129884630502,15.906129884630502
575.11,15.766065239999998,15.869148160000004,16.529420300064025,15.906044673645845,15.906044673645845
575.12,15.76507408,15.871385720000001,16.52982519189642,15.905961195681389,15.905961195681389
575.13,15.76408292,15.87362328,16.530229268937013,15.905879429992675,15.905879429992675
575.14,15.763091760000002,15.875860839999998,16.530632532873348,15.905967284074254,15.905967284074254
575.15,15.762100600000002,15.878098399999995,16.531034985389365,15.906055688365527,15.906055688365527
575.16,15.761109440000002,15.880335959999993,16.531436628165416,15.90614463480202,15.90614463480202
575.17,15.760118280000004,15.882573519999992,16.531817653032814,15.906214314426165,15.906214314426165
575.1800000000001,15.759127119999993,15.884811080000015,16.532178101244853,15.906264767701632,15.906264767701632
575.19,15.758135959999994,15.887048640000012,16.5325378238176,15.906315835995294,15.906315835995294
575.2,15.757144799999995,15.889286200000011,16.532896822259087,15.906367511249293,15.906367511249293
575.21,15.756153639999996,15.891523760000009,16.533255098074108,15.906419785485081,15.906419785485081
575.22,15.755162479999997,15.893761320000007,16.53361265276422,15.90646853704404,15.90646853704404
575.23,15.754171319999998,15.895998880000004,16.533969487827758,15.906517896295922,15.906517896295922
575.24,15.75318016,15.898236440000003,16.53432560475982,15.90656785526711,15.90656785526711
