,mean_Wind1VelX,mean_GenPwr,DEL_4_TwrBsMyt,DEL_4_RotTorq,DEL_10_RootMyb1,Overshoot_GenSpeed,Travel_BldPitch1,max_GenTq
SimulationResults_LAC_4BeamPulsed\URef_12_Seed_05.outb,12.000029239303675,14853.279787587433,315418.9143438202,2263.538191749864,60757.38702307033,0.09337672554418937,169.78587917855478,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_12_Seed_06.outb,12.00007905189411,14727.162771450237,322190.3712772657,3033.9703219735716,62269.85846239746,0.10472799219531523,155.94401884565033,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_14_Seed_01.outb,14.000053309502222,14990.8257624597,290293.9712394518,913.0116137172083,66077.36958036962,0.08799224090540166,130.98094224929795,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_14_Seed_02.outb,13.99996428487599,14991.727035919499,319550.1527840773,807.3124371520686,63643.67113629788,0.10443179760408966,146.69048023223894,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_14_Seed_03.outb,13.999998525292602,14993.854381227897,260978.32676649388,811.3615168234047,61103.14832864221,0.05914505745894256,103.01108932495143,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_14_Seed_04.outb,14.000048716026892,14982.344873308304,304335.8062184759,884.5980311342801,62736.32056009042,0.09490954516854283,140.557231426239,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_14_Seed_05.outb,14.000063977061018,14985.256933734128,291206.86783004005,736.7966786002119,56875.561281340575,0.09677917891494597,127.8516507148743,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_14_Seed_06.outb,13.999928542473487,14986.201242714995,302914.6855090688,779.2780310309196,61437.66113437394,0.09597587092647726,138.7656872272492,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_16_Seed_01.outb,15.99989078032027,14985.8959836937,312826.5156224873,901.1769086390545,64478.10960828156,0.12000144037556644,94.90449762344358,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_16_Seed_02.outb,16.00005193009073,14980.495244341426,265959.22023659945,903.8312173348987,62227.26761586782,0.08756283443669137,99.17904663085955,19786.76953125
SimulationResults_LAC_4BeamPulsed\URef_16_Seed_03.outb,16.000006405855874,14987.15179265471,267271.68055841496,928.5407307292206,58138.63674919188,0.10990054884719515,93.85636711120631,19786.76953125
